ClassPrefix,FrameworkType,FlameGraphColorStart,FlameGraphColorEnd,TextColor
com.pega,Pega,b2b6db,c2c7f0,000000
com.pegarules,Pega,b2b6db,c2c7f0,000000
com.pointbase,Pointbase Driver,828156,94936d,FFFFFF
com.rabbitmq,Rabbit MQ,bcccc6,d5e3de,000000
com.rsa,RSA Security,8bc4af,9ad9c2,000000
com.singularity,AppDynamics,7668CF,978FCF,FFFFFF
com.softwareag,Software AG,bcccc6,d5e3de,000000
com.sun,JDK Core,75E500,BBFA38,000000
com.sun.jersey,Jersey REST Framework,75E500,BBFA38,000000
com.sun.xml.ws,Sun Web Services,75E500,BBFA38,000000
com.sybase.jdbc2,Sybase JDBC2,36ffc3,9ffce0,000000
com.sybase.jdbc3,Sybase JDBC3,36ffc3,9ffce0,000000
com.sybase.jdbc4,Sybase JDBC3,36ffc3,9ffce0,000000
com.teradata,Teradata Database,12588b,226494,FFFFFF
com.terracotta,Terracotta DB,12588b,226494,FFFFFF
com.terracottatech,Terracotta DB,12588b,226494,FFFFFF
com.thoughtworks,ThoughtWorks,e874d9,ff82ee,000000
com.webex,Cisco Webex,418521,4B9E24,FFFFFF
com.weblogic,WebLogic Core,05f0e0,37ede1,000000
com.webmethods,Software AG webMethods,40ff96,6effaf,000000
Corillian,Corillian/Voyager Banking,fcf644,fcf760,000000
custom01,Custom Mapping for Flame Graphs,fcf644,fcf760,000000
custom02,Custom Mapping for Flame Graphs,c4d14d,e1f059,000000
custom03,Custom Mapping for Flame Graphs,fcd121,fcd94c,000000
custom04,Custom Mapping for Flame Graphs,fc911e,ffa647,000000
custom05,Custom Mapping for Flame Graphs,ff7a0d,fc9744,000000
custom06,Custom Mapping for Flame Graphs,ff6219,ff9361,000000
custom07,Custom Mapping for Flame Graphs,62fcce,8affdc,000000
custom08,Custom Mapping for Flame Graphs,f0757e,f29ba1,000000
custom09,Custom Mapping for Flame Graphs,12588b,226494,FFFFFF
custom10,Custom Mapping for Flame Graphs,FE5810,FF8754,000000
custom11,Custom Mapping for Flame Graphs,ad5fc9,c169e0,000000
custom12,Custom Mapping for Flame Graphs,bb9bc7,d8b3e6,000000
custom13,Custom Mapping for Flame Graphs,f20ab0,f549c4,000000
custom14,Custom Mapping for Flame Graphs,7668CF,978FCF,FFFFFF
custom15,Custom Mapping for Flame Graphs,f7abc3,ffd1e0,000000
custom16,Custom Mapping for Flame Graphs,8abfb9,a7d6d1,000000
custom17,Custom Mapping for Flame Graphs,c5d186,e1f099,000000
custom18,Custom Mapping for Flame Graphs,c4d14d,e1f059,000000
custom19,Custom Mapping for Flame Graphs,e4ff36,ecff73,000000
custom20,Custom Mapping for Flame Graphs,d17c15,f09322,000000
Dapper,Dapper,f7ef08,faf337,000000
